name,value
acari,Acari
blatte-e-scarafaggi,Blatte e scarafaggi
cimici-dei-letti,Cimici dei letti
cimici-dei-campi,Cimici dei campi
coleottero-giapponese,Coleottero giapponese
formiche,Formiche
gechi-e-lucertole,Gechi e lucertole
insetti-delle-derrate-alimentari,Insetti delle derrate alimentari
limacce-e-lumache,Limacce e Lumache
mosche-e-mosconi,Mosche e mosconi
mosca-dei-bagni,Mosca dei bagni
parassiti-delle-piante,Parassiti delle piante
piccioni-e-volatili,Piccioni e Volatili
pidocchi,Pidocchi
pulci,Pulci
punteruolo-rosso-della-palma,Punteruolo rosso della palma
ragni,Ragni
rettili,Rettili
roditori,Roditori
talpe,Talpe
tarli,Tarli
tarme-dei-tessuti,Tarme dei tessuti
termiti,Termiti
tignole-delle-derrate,Tignole delle derrate
vespe-e-calabroni,Vespe e Calabroni
zanzare,Zanzare
gatti,gatti
pesciolini-d-argento,pesciolini d argento
stink-bugs,stink bugs
insetti-striscianti-e-topi,Insetti striscianti e topi
